,sch_id,diploma_desc,grad_desc,independent_desc,location,province,sch_competent_desc,sch_create_time,sch_english_name,sch_logo,sch_name,sch_run_type,sch_run_type_desc,sch_tags,sch_type_desc,sch_type_tag_desc
1559,52ac2e99747aec013fcf4e87,本科,,独立学院,甘肃兰州市,甘肃,甘肃省教育厅,2000,Longqiao College of lanzhou University of Finance and economic,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e87.jpg,兰州财经大学陇桥学院,2,民办高校,"['民办高校', '本科', '财经', '独立学院']",财经,
1560,52ac2e99747aec013fcf4e88,本科,,独立学院,江苏苏州市,江苏,江苏省教育厅,1999,Tianping College of Suzhou University of Science and Technology,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e88.jpg,苏州科技大学天平学院,2,民办高校,"['民办高校', '本科', '综合', '独立学院']",综合,
1561,52ac2e99747aec013fcf4e89,本科,,独立学院,陕西西安市,陕西,陕西省教育厅,2006,The Hi-tech college of Xi'an University of Technology,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e89.jpg,西安理工大学高科学院,2,民办高校,"['民办高校', '本科', '工科', '独立学院']",工科,
1562,52ac2e99747aec013fcf4e8a,专科,,,辽宁铁岭市,辽宁,辽宁省教育厅,1978,Tieling Normal College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e8a.jpg,铁岭师范高等专科学校,1,公立大学,"['公立大学', '专科', '师范']",师范,
1563,52ac2e99747aec013fcf4e8b,专科,,,湖北武汉市,湖北,湖北省教育厅,1988,Hubei Vocational Open University,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e8b.jpg,湖北开放职业学院,2,民办高校,"['民办高校', '专科', '工科']",工科,
1564,52ac2e99747aec013fcf4e8c,专科,,,福建厦门市,福建,福建省教育厅,2002,The Xiamen Academy for Performing Arts,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e8c.jpg,厦门演艺职业学院,2,民办高校,"['民办高校', '专科', '艺术']",艺术,
1565,52ac2e99747aec013fcf4e8d,专科,,,山东青岛市,山东,山东省教育厅,1964,Shandong Foreign Trade Vocational College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e8d.jpg,山东外贸职业学院,1,公立大学,"['公立大学', '专科', '财经']",财经,
1566,52ac2e99747aec013fcf4e8e,专科,,,广西南宁市,广西,广西壮族自治区教育厅,1953,Guangxi Education Institute,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e8e.jpg,广西教育学院,1,公立大学,"['公立大学', '专科', '师范']",师范,
1567,52ac2e99747aec013fcf4e90,专科,,,湖北武汉市,湖北,湖北省教育厅,1951,,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e90.jpg,湖北青年职业学院,1,公立大学,"['公立大学', '专科', '工科']",工科,
1568,52ac2e99747aec013fcf4e92,专科,,,山东济宁市,山东,山东省教育厅,1998,Qufu Fareast Vocational and Technical College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e92.jpg,曲阜远东职业技术学院,2,民办高校,"['民办高校', '专科', '综合']",综合,
1569,52ac2e99747aec013fcf4e94,专科,,,山东青岛市,山东,山东省教育厅,1996,Qingdao Feiyang Vocational Technical College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e94.jpg,青岛飞洋职业技术学院,2,民办高校,"['民办高校', '专科', '综合']",综合,
1570,52ac2e99747aec013fcf4e95,专科,,,四川攀枝花市,四川,四川省教育厅,1973,Sichuan Electromechanical Institute of Vocation and Technology,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e95.jpg,四川机电职业技术学院,1,公立大学,"['公立大学', '专科', '工科']",工科,
1571,52ac2e99747aec013fcf4e97,专科,,,四川成都市,四川,四川省教育厅,1959,,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e97.jpg,四川工商职业技术学院,1,公立大学,"['公立大学', '专科', '工科']",工科,
1572,52ac2e99747aec013fcf4e98,专科,,,湖南湘潭市,湖南,湖南省教育厅,2001,,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e98.jpg,湖南软件职业学院,2,民办高校,"['民办高校', '专科', '工科']",工科,
1573,52ac2e99747aec013fcf4e99,专科,,,湖南怀化市,湖南,湖南省教育厅,2003,Huaihua Vocational and Technical College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e99.jpg,怀化职业技术学院,1,公立大学,"['公立大学', '专科', '综合']",综合,
1574,52ac2e99747aec013fcf4e9b,专科,,,江苏南京市,江苏,江苏省教育厅,1998,Zhengde Polytechnic,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e9b.jpg,正德职业技术学院,2,民办高校,"['民办高校', '专科', '工科']",工科,
1575,52ac2e99747aec013fcf4e9c,本科,,,宁夏石嘴山市,宁夏,宁夏回族自治区教育厅,1985,Ningxia Institute Of Science And Technology,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e9c.jpg,宁夏理工学院,2,民办高校,"['民办高校', '本科', '综合']",综合,
1576,52ac2e99747aec013fcf4e9d,专科,,,江苏扬州市,江苏,江苏省教育厅,1999,Jianghai College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e9d.jpg,江海职业技术学院,2,民办高校,"['民办高校', '专科', '工科']",工科,
1577,52ac2e99747aec013fcf4e9e,本科,,独立学院,浙江嘉兴市,浙江,浙江省教育厅,1999,Zhejiang University of Finance Economics Dongfang College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4e9e.jpg,浙江财经大学东方学院,2,民办高校,"['民办高校', '本科', '财经', '独立学院']",财经,
1578,52ac2e99747aec013fcf4ea0,本科,研究生点,,陕西,陕西,中央军委训练管理部,1941,,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ea0.jpg,空军军医大学,1,公立大学,"['公立大学', '本科', '综合', '双一流', '研究生点']",综合,['双一流']
1579,52ac2e99747aec013fcf4ea2,专科,,,湖南岳阳市,湖南,湖南省教育厅,1952,Hunan Vocational College for Nationalities,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ea2.jpg,湖南民族职业学院,1,公立大学,"['公立大学', '专科', '民族']",民族,
1580,52ac2e99747aec013fcf4ea4,本科,,独立学院,广东广州市,广东,广东省教育厅,2000,Guangzhou University Sontian College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ea4.jpg,广州大学松田学院,2,民办高校,"['民办高校', '本科', '综合', '独立学院']",综合,
1581,52ac2e99747aec013fcf4ea6,专科,,,辽宁大连市,辽宁,辽宁省教育厅,1979,,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ea6.jpg,大连职业技术学院,1,公立大学,"['公立大学', '专科', '综合']",综合,
1582,52ac2e99747aec013fcf4ea7,本科,,独立学院,江西赣州市,江西,江西省教育厅,2001,"College of Applied Science, Jiangxi University of Science and Te",https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ea7.jpg,江西理工大学应用科学学院,2,民办高校,"['民办高校', '本科', '工科', '独立学院']",工科,
1583,52ac2e99747aec013fcf4eab,专科,,,安徽黄山市,安徽,安徽省教育厅,2010,Huangshan Vocational Technical College,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4eab.jpg,黄山职业技术学院,1,公立大学,"['公立大学', '专科', '综合']",综合,
1584,52ac2e99747aec013fcf4eac,专科,,,河南郑州市,河南,河南省教育厅,1951,Zhengzhou Railway Vocational Technical Colleg,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4eac.jpg,郑州铁路职业技术学院,1,公立大学,"['公立大学', '专科', '工科']",工科,
1585,52ac2e99747aec013fcf4ead,专科,,,江苏南京市,江苏,江苏省教育厅,1951,Jiangsu Maritime Institute,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4ead.jpg,江苏海事职业技术学院,1,公立大学,"['公立大学', '专科', '工科']",工科,
1586,52ac2e99747aec013fcf4eaf,本科,,独立学院,江西景德镇市,江西,江西省教育厅,2001,College of Technology and Art Jingdezhen Ceramic Institute,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4eaf.jpg,景德镇陶瓷大学科技艺术学院,2,民办高校,"['民办高校', '本科', '工科', '独立学院']",工科,
1587,52ac2e99747aec013fcf4eb0,专科,,,江西南昌市,江西,江西省教育厅,1983,Jiangxi Vocational College of Science and Technology,https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4eb0.jpg,江西科技职业学院,2,民办高校,"['民办高校', '专科', '综合']",综合,
1588,52ac2e99747aec013fcf4eb1,本科,,独立学院,北京市,北京,北京市教育委员会,2004,"Canvard Institute,Beijing Technology and Business University",https://storage-oss.ipin.com/school-icon/52ac2e99747aec013fcf4eb1.jpg,北京工商大学嘉华学院,2,民办高校,"['民办高校', '本科', '财经', '独立学院']",财经,
